Ano,Presunto_Responsable,Latitud,Longitud,Total_de_Victimas_del_Caso
2004,GRUPO PARAMILITAR,6.2194810893,-74.5716887665,1
2001,GRUPO PARAMILITAR,5.8376814743,-74.8280732592,1
2005,GUERRILLA,6.992243782,-76.314263284,1
1988,GUERRILLA,6.894292346,-73.539003336,1
1998,GUERRILLA,5.4162684868,-75.9043263373,1
1993,GUERRILLA,4.127404,-73.627486,1
1998,GRUPO PARAMILITAR,6.063828223,-74.806913159,1
1998,GUERRILLA,5.3404456801,-75.7304125955,1
2000,GRUPO PARAMILITAR,8.173851745,-76.574037701,2
2001,GRUPO PARAMILITAR,4.451921427,-75.252590995,1
2001,GUERRILLA,5.407187836,-75.166839962,2
2001,GRUPO PARAMILITAR,5.153576,-75.035722,2
2002,GRUPO PARAMILITAR,8.74513,-75.875576,1
2004,GUERRILLA,5.708114524,-75.094697954,1
2004,GRUPO PARAMILITAR,5.727081285,-75.986891074,1
2005,GUERRILLA,1.052762314,-71.33093035,1
2005,GRUPO PARAMILITAR,7.054074558,-73.782116461,1
2004,GRUPO PARAMILITAR,1.574550638,-78.615409629,1
1984,GUERRILLA,2.172441496,-75.571312425,150
2005,GRUPO PARAMILITAR,5.7543229,-76.65015147,1
2005,GUERRILLA,4.0,-72.0,1
2005,DESCONOCIDO,9.1,-72.73,1
2005,DESCONOCIDO,9.1,-72.73,1
2005,GRUPO PARAMILITAR,4.262454746,-69.521404835,1
1994,GUERRILLA,4.262454746,-69.521404835,1
2005,GRUPO ARMADO NO IDENTIFICADO,4.262454746,-69.521404835,1
1999,GUERRILLA,4.262454746,-69.521404835,1
2000,GUERRILLA,4.262454746,-69.521404835,1
2000,GUERRILLA,4.262454746,-69.521404835,1
2001,GUERRILLA,4.262454746,-69.521404835,1
2002,GUERRILLA,4.262454746,-69.521404835,1
2002,GUERRILLA,4.262454746,-69.521404835,1
2002,GUERRILLA,4.262454746,-69.521404835,1
2003,GUERRILLA,4.262454746,-69.521404835,3
2004,GUERRILLA,4.262454746,-69.521404835,1
2004,GUERRILLA,4.262454746,-69.521404835,1
2004,GUERRILLA,4.262454746,-69.521404835,1
2004,AGENTE DEL ESTADO,4.262454746,-69.521404835,1
2004,GUERRILLA,4.262454746,-69.521404835,1
2004,GUERRILLA,4.262454746,-69.521404835,1
2005,GUERRILLA,4.262454746,-69.521404835,1
2005,GRUPO PARAMILITAR,4.262454746,-69.521404835,1
2005,GRUPO PARAMILITAR,4.262454746,-69.521404835,1
2005,GUERRILLA,4.262454746,-69.521404835,1
2005,GUERRILLA,4.262454746,-69.521404835,1
2006,GRUPO PARAMILITAR,4.262454746,-69.521404835,1
2006,GUERRILLA,4.262454746,-69.521404835,1
2006,GUERRILLA,4.262454746,-69.521404835,1
2007,GUERRILLA,4.262454746,-69.521404835,1
2007,GRUPO POSDESMOVILIZACIÓN,4.262454746,-69.521404835,1
2007,GUERRILLA,4.262454746,-69.521404835,1
2007,GUERRILLA,4.262454746,-69.521404835,1
2008,GUERRILLA,4.262454746,-69.521404835,1
2008,GRUPO ARMADO NO IDENTIFICADO,4.262454746,-69.521404835,1
2010,GUERRILLA,4.262454746,-69.521404835,1
2005,GRUPO PARAMILITAR,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2000,GUERRILLA,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,GRUPO ARMADO NO IDENTIFICADO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2005,DESCONOCIDO,4.262454746,-69.521404835,1
2004,GUERRILLA,4.262454746,-69.521404835,1
2005,GUERRILLA,3.8244878519,-70.5885389391,1
2005,DESCONOCIDO,4.968581012,-70.659970968,1
2005,DESCONOCIDO,4.968581012,-70.659970968,1
2005,DESCONOCIDO,4.968581012,-70.659970968,1
2005,DESCONOCIDO,4.968581012,-70.659970968,1
2005,DESCONOCIDO,4.968581012,-70.659970968,1
2005,DESCONOCIDO,4.968581012,-70.659970968,1
2002,GUERRILLA,5.517593607,-69.620440535,1
1995,GRUPO ARMADO NO IDENTIFICADO,5.517593607,-69.620440535,1
2002,GUERRILLA,5.517593607,-69.620440535,1
2005,DESCONOCIDO,5.517593607,-69.620440535,1
2005,DESCONOCIDO,5.517593607,-69.620440535,1
2005,DESCONOCIDO,5.517593607,-69.620440535,1
2005,DESCONOCIDO,5.517593607,-69.620440535,1
2005,DESCONOCIDO,5.517593607,-69.620440535,1
2005,DESCONOCIDO,5.517593607,-69.620440535,1
2005,DESCONOCIDO,5.517593607,-69.620440535,1
2005,DESCONOCIDO,5.517593607,-69.620440535,1
2005,DESCONOCIDO,5.517593607,-69.620440535,1
2005,DESCONOCIDO,5.517593607,-69.620440535,1
2005,DESCONOCIDO,5.517593607,-69.620440535,1
2005,DESCONOCIDO,5.517593607,-69.620440535,1
2005,GRUPO ARMADO NO IDENTIFICADO,5.836529669,-68.141222336,1
2005,GRUPO ARMADO NO IDENTIFICADO,5.836529669,-68.141222336,1
2005,GRUPO ARMADO NO IDENTIFICADO,5.836529669,-68.141222336,1
2005,GRUPO ARMADO NO IDENTIFICADO,5.836529669,-68.141222336,1
2005,GUERRILLA,5.836529669,-68.141222336,1
2005,GUERRILLA,5.836529669,-68.141222336,1
2001,GUERRILLA,5.836529669,-68.141222336,1
2003,GRUPO PARAMILITAR,5.836529669,-68.141222336,1
2004,GUERRILLA,5.836529669,-68.141222336,1
2006,GRUPO POSDESMOVILIZACIÓN,5.836529669,-68.141222336,1
2005,DESCONOCIDO,5.836529669,-68.141222336,1
2005,DESCONOCIDO,5.836529669,-68.141222336,1
2008,GUERRILLA,5.836529669,-68.141222336,1
2009,GRUPO POSDESMOVILIZACIÓN,5.836529669,-68.141222336,1
2005,DESCONOCIDO,5.836529669,-68.141222336,1
2005,DESCONOCIDO,5.836529669,-68.141222336,1
2005,DESCONOCIDO,5.836529669,-68.141222336,1
2005,DESCONOCIDO,5.836529669,-68.141222336,1
2005,DESCONOCIDO,5.836529669,-68.141222336,1
2005,DESCONOCIDO,5.836529669,-68.141222336,1
2005,DESCONOCIDO,5.836529669,-68.141222336,1
2005,DESCONOCIDO,5.836529669,-68.141222336,1
2005,DESCONOCIDO,5.836529669,-68.141222336,1
2005,DESCONOCIDO,5.836529669,-68.141222336,1
2005,DESCONOCIDO,5.836529669,-68.141222336,1
2005,DESCONOCIDO,5.836529669,-68.141222336,1
2005,DESCONOCIDO,5.836529669,-68.141222336,1
2005,DESCONOCIDO,5.836529669,-68.141222336,1
2005,DESCONOCIDO,5.836529669,-68.141222336,1
2005,DESCONOCIDO,5.836529669,-68.141222336,1
2005,DESCONOCIDO,5.836529669,-68.141222336,1
2005,DESCONOCIDO,5.836529669,-68.141222336,1
2014,GRUPO ARMADO NO IDENTIFICADO,1.569312273,-70.911663147,1
2009,GUERRILLA,-0.00834364,-70.543306099,1
2015,GUERRILLA,-0.00834364,-70.543306099,1
2000,GUERRILLA,1.052762314,-71.33093035,1
2002,GUERRILLA,1.052762314,-71.33093035,1
2004,GUERRILLA,1.052762314,-71.33093035,1
2005,GUERRILLA,1.052762314,-71.33093035,1
2007,GUERRILLA,1.052762314,-71.33093035,1
2010,GUERRILLA,1.052762314,-71.33093035,2
2005,DESCONOCIDO,1.052762314,-71.33093035,1
2005,DESCONOCIDO,1.052762314,-71.33093035,1
2005,DESCONOCIDO,1.052762314,-71.33093035,1
2005,DESCONOCIDO,1.052762314,-71.33093035,1
2005,DESCONOCIDO,1.052762314,-71.33093035,1
2005,DESCONOCIDO,1.052762314,-71.33093035,1
2005,DESCONOCIDO,1.052762314,-71.33093035,1
2005,DESCONOCIDO,1.052762314,-71.33093035,1
2005,DESCONOCIDO,1.052762314,-71.33093035,1
2005,DESCONOCIDO,1.052762314,-71.33093035,1
2008,GUERRILLA,1.052762314,-71.33093035,1
2005,DESCONOCIDO,1.052762314,-71.33093035,1
2005,DESCONOCIDO,1.052762314,-71.33093035,1
2005,DESCONOCIDO,1.052762314,-71.33093035,1
2006,GRUPO PARAMILITAR,1.06148231,-70.46688401,2
2005,GRUPO ARMADO NO IDENTIFICADO,1.06148231,-70.46688401,1
1995,GUERRILLA,1.06148231,-70.46688401,1
2001,GUERRILLA,1.06148231,-70.46688401,1
2002,GUERRILLA,1.06148231,-70.46688401,1
2005,GUERRILLA,1.06148231,-70.46688401,1
2005,GRUPO ARMADO NO IDENTIFICADO,1.06148231,-70.46688401,1
2007,GUERRILLA,1.06148231,-70.46688401,1
2009,GUERRILLA,1.06148231,-70.46688401,1
2009,GUERRILLA,1.06148231,-70.46688401,2
2010,GUERRILLA,1.06148231,-70.46688401,1
2010,GUERRILLA,1.06148231,-70.46688401,1
2011,GUERRILLA,1.06148231,-70.46688401,1
2007,GUERRILLA,1.06148231,-70.46688401,2
2007,GUERRILLA,1.06148231,-70.46688401,2
2007,GUERRILLA,1.06148231,-70.46688401,1
2005,DESCONOCIDO,1.06148231,-70.46688401,1
2013,GUERRILLA,1.06148231,-70.46688401,1
2005,DESCONOCIDO,1.06148231,-70.46688401,1
2005,DESCONOCIDO,1.06148231,-70.46688401,1
2005,DESCONOCIDO,1.06148231,-70.46688401,1
2005,DESCONOCIDO,1.06148231,-70.46688401,1
2005,DESCONOCIDO,1.06148231,-70.46688401,1
2005,DESCONOCIDO,1.06148231,-70.46688401,1
2005,DESCONOCIDO,1.06148231,-70.46688401,1
2005,DESCONOCIDO,1.06148231,-70.46688401,1
2005,DESCONOCIDO,1.06148231,-70.46688401,1
2005,DESCONOCIDO,1.06148231,-70.46688401,1
2005,DESCONOCIDO,1.06148231,-70.46688401,1
2005,DESCONOCIDO,1.06148231,-70.46688401,1
2005,DESCONOCIDO,1.06148231,-70.46688401,1
2005,DESCONOCIDO,1.06148231,-70.46688401,1
2005,DESCONOCIDO,1.06148231,-70.46688401,1
2005,DESCONOCIDO,1.06148231,-70.46688401,1
2005,DESCONOCIDO,1.06148231,-70.46688401,1
2005,DESCONOCIDO,1.06148231,-70.46688401,1
2007,GUERRILLA,0.64624561,-70.56140566,3
1986,GUERRILLA,1.363974932,-72.018109505,1
2005,GUERRILLA,1.363974932,-72.018109505,1
2005,GRUPO ARMADO NO IDENTIFICADO,1.363974932,-72.018109505,1
2007,DESCONOCIDO,1.363974932,-72.018109505,1
1999,GUERRILLA,1.363974932,-72.018109505,1
2000,GUERRILLA,1.363974932,-72.018109505,1
2000,GUERRILLA,1.363974932,-72.018109505,1
2001,GUERRILLA,1.363974932,-72.018109505,1
2004,GRUPO ARMADO NO IDENTIFICADO,1.363974932,-72.018109505,1
2006,GUERRILLA,1.363974932,-72.018109505,1
2007,GUERRILLA,1.363974932,-72.018109505,1
2007,GUERRILLA,1.363974932,-72.018109505,1
2008,GUERRILLA,1.363974932,-72.018109505,1
2008,GUERRILLA,1.363974932,-72.018109505,1
2008,GUERRILLA,1.363974932,-72.018109505,1
2008,GUERRILLA,1.363974932,-72.018109505,1
2009,GUERRILLA,1.363974932,-72.018109505,1
2010,GUERRILLA,1.363974932,-72.018109505,1
2010,GUERRILLA,1.363974932,-72.018109505,1
2011,GUERRILLA,1.363974932,-72.018109505,1
2012,GUERRILLA,1.363974932,-72.018109505,1
2005,DESCONOCIDO,1.363974932,-72.018109505,1
2005,DESCONOCIDO,1.363974932,-72.018109505,1
2005,DESCONOCIDO,1.363974932,-72.018109505,1
2005,DESCONOCIDO,1.363974932,-72.018109505,1
2005,DESCONOCIDO,1.363974932,-72.018109505,1
2005,DESCONOCIDO,1.363974932,-72.018109505,1
2010,GUERRILLA,1.363974932,-72.018109505,1
2013,GUERRILLA,1.363974932,-72.018109505,1
2001,GUERRILLA,1.363974932,-72.018109505,1
2005,DESCONOCIDO,1.363974932,-72.018109505,1
2005,DESCONOCIDO,1.363974932,-72.018109505,1
2005,DESCONOCIDO,1.363974932,-72.018109505,1
2005,DESCONOCIDO,1.363974932,-72.018109505,1
2005,DESCONOCIDO,1.363974932,-72.018109505,1
2005,DESCONOCIDO,1.363974932,-72.018109505,1
2005,DESCONOCIDO,1.363974932,-72.018109505,1
2005,DESCONOCIDO,1.363974932,-72.018109505,1
2005,DESCONOCIDO,1.363974932,-72.018109505,1
2005,DESCONOCIDO,1.363974932,-72.018109505,1
2005,DESCONOCIDO,1.363974932,-72.018109505,1
2005,DESCONOCIDO,1.363974932,-72.018109505,1
